vowels f1 std f2 std f3 std f4 std
2 409 47 1599 162 2703 178 3985 190
9 599 86 1678 156 2843 208 4107 221
A 830 113 1438 183 2900 179 4065 256
e 405 44 2553 174 3346 202 4325 271
ei 614 83 2306 160 3137 202 4383 271
i 275 32 2585 228 3815 228 4521 256
o 415 44 842 103 2862 165 4048 228
oo 595 100 1144 141 2907 172 4035 209
u 291 31 779 93 2648 254 3980 356
y 276 29 2091 167 2579 216 3826 221
